Title,Sentiment
Heir to the Sky,Neutral
Green Eggs and Ham ...,Negative
"Grayson, Vol 3: Nemesis ...",Neutral
Gratitude,Neutral
Gone Girl,Neutral
Golden (Heart of Dread ...,Positive
Girl in the Blue ...,Neutral
"Fruits Basket, Vol. 3 ...",Neutral
Friday Night Lights: A ...,Neutral
Fire Bound (Sea Haven/Sisters ...,Neutral
Fifty Shades Freed (Fifty ...,Neutral
Fellside,Neutral
Extreme Prey (Lucas Davenport ...,Negative
Eragon (The Inheritance Cycle ...,Neutral
Eclipse (Twilight #3),Neutral
Dune (Dune #1),Neutral
Dracula,Neutral
Do Androids Dream of ...,Neutral
Disrupted: My Misadventure in ...,Neutral
Dead Wake: The Last ...,Neutral
"David and Goliath: Underdogs, ...",Neutral
Darkfever (Fever #1),Neutral
Dark Places,Negative
Crazy Rich Asians (Crazy ...,Negative
Counting Thyme,Neutral
Cosmos,Neutral
Civilization and Its Discontents,Neutral
Cinder (The Lunar Chronicles ...,Neutral
Catastrophic Happiness: Finding Joy ...,Positive
Career of Evil (Cormoran ...,Negative
Breaking Dawn (Twilight #4),Neutral
Brave Enough,Positive
Boy Meets Boy,Neutral
Born to Run: A ...,Neutral
Blink: The Power of ...,Neutral
Black Flags: The Rise ...,Negative
"Black Butler, Vol. 1 ...",Negative
Big Little Lies,Neutral
Between Shades of Gray,Neutral
Best of My Love ...,Positive
Beowulf,Neutral
Beautiful Creatures (Caster Chronicles ...,Positive
Awkward,Negative
Ash,Neutral
Are We There Yet?,Neutral
Are We Smart Enough ...,Positive
Annie on My Mind,Neutral
And Then There Were ...,Neutral
A Walk in the ...,Neutral
A Visit from the ...,Neutral
A Storm of Swords ...,Neutral
A Heartbreaking Work of ...,Neutral
8 Keys to Mental ...,Neutral
#GIRLBOSS,Neutral
The Suffragettes (Little Black ...,Negative
The Sense of an ...,Neutral
"The Sandman, Vol. 2: ...",Neutral
The Course of Love,Positive
Sugar Rush (Offensive Line ...,Neutral
"Saga, Volume 2 (Saga ...",Neutral
"Run, Spot, Run: The ...",Neutral
New Moon (Twilight #2),Positive
Life,Neutral
Kindle Paperwhite User's Guide,Neutral
H is for Hawk,Neutral
Girl Online On Tour ...,Neutral
"Fruits Basket, Vol. 2 ...",Neutral
Diary of a Minecraft ...,Neutral
"Y: The Last Man, ...",Neutral
While You Were Mine,Neutral
Where Lightning Strikes (Bleeding ...,Neutral
When I'm Gone,Neutral
Ways of Seeing,Neutral
"Vampire Knight, Vol. 1 ...",Neutral
Vampire Girl (Vampire Girl ...,Neutral
Twenty Love Poems and ...,Positive
Travels with Charley: In ...,Neutral
Three Wishes (River of ...,Neutral
This One Moment (Pushing ...,Neutral
The Zombie Room,Neutral
The Wicked + The ...,Neutral
The Tumor,Neutral
The Story of Hong ...,Neutral
The Silent Wife,Neutral
The Silent Twin (Detective ...,Neutral
The Selfish Gene,Negative
The Secret Healer,Negative
"The Sandman, Vol. 1: ...",Neutral
The Republic,Neutral
The Odyssey,Neutral
The No. 1 Ladies' ...,Neutral
The Nicomachean Ethics,Neutral
The Name of the ...,Neutral
The Mirror & the ...,Neutral
The Little Prince,Negative
The Light of the ...,Positive
The Last Girl (The ...,Neutral
The Iliad,Neutral
The Hook Up (Game ...,Negative
The Haters,Neutral
The Girl You Lost,Neutral
The Girl In The ...,Neutral
The End of the ...,Neutral
The Edge of Reason ...,Neutral
The Complete Maus (Maus ...,Neutral
The Communist Manifesto,Neutral
The Bhagavad Gita,Neutral
The Bette Davis Club,Neutral
The Art of Not ...,Neutral
Taking Shots (Assassins #1),Neutral
Starlark,Neutral
"Skip Beat!, Vol. 01 ...",Neutral
Sister Sable (The Mad ...,Negative
Shatter Me (Shatter Me ...,Neutral
Shameless,Neutral
Shadow Rites (Jane Yellowrock ...,Neutral
Settling the Score (The ...,Neutral
Sense and Sensibility,Neutral
"Saga, Volume 1 (Saga ...",Neutral
"Rhythm, Chord & Malykhin",Neutral
"Rat Queens, Vol. 1: ...",Neutral
Paradise Lost (Paradise #1),Neutral
"Paper Girls, Vol. 1 ...",Neutral
Ouran High School Host ...,Positive
Origins (Alphas 0.5),Neutral
One Second (Seven #7),Neutral
On the Road (Duluoz ...,Neutral
Old Records Never Die: ...,Neutral
Off Sides (Off #1),Neutral
Of Mice and Men,Neutral
Myriad (Prentor #1),Neutral
My Perfect Mistake (Over ...,Positive
"Ms. Marvel, Vol. 1: ...",Neutral
Meditations,Neutral
Matilda,Neutral
Lost Among the Living,Neutral
Lord of the Flies,Neutral
Listen to Me (Fusion ...,Neutral
Kitchens of the Great ...,Positive
Jane Eyre,Neutral
Imperfect Harmony,Neutral
Icing (Aces Hockey #2),Neutral
"Hawkeye, Vol. 1: My ...",Neutral
Having the Barbarian's Baby ...,Negative
"Giant Days, Vol. 1 ...",Neutral
"Fruits Basket, Vol. 1 ...",Neutral
Frankenstein,Neutral
Forever Rockers (The Rocker ...,Neutral
Fighting Fate (Fighting #6),Neutral
Emma,Neutral
"Eat, Pray, Love",Positive
Deep Under (Walker Security ...,Neutral
Choosing Our Religion: The ...,Neutral
Charlie and the Chocolate ...,Neutral
Charity's Cross (Charles Towne ...,Neutral
Bright Lines,Positive
Bridget Jones's Diary (Bridget ...,Neutral
Bounty (Colorado Mountain #7),Neutral
Blood Defense (Samantha Brinkman ...,Neutral
"Bleach, Vol. 1: Strawberry ...",Neutral
Beyond Good and Evil,Negative
Alice in Wonderland (Alice's ...,Neutral
"Ajin: Demi-Human, Volume 1 ...",Neutral
A Spy's Devotion (The ...,Neutral
1st to Die (Women's ...,Neutral
"1,000 Places to See ...",Neutral
